,University,CNCI,TOP
0,Massachusetts Institute of Technology (MIT),81.1,100.0
1,Stanford University,87.2,85.5
2,"University of California, Berkeley",83.5,82.9
3,Carnegie Mellon University,73.7,99.8
4,Tsinghua University,74.7,81.3
5,Harvard University,81.6,54.0
6,ETH Zurich,79.9,72.8
7,Nanyang Technological University,85.5,54.4
8,University of Oxford,72.2,63.9
9,Princeton University,86.2,57.8
10,Columbia University,87.5,50.3
11,University of Electronic Science and Technology of China,86.1,34.8
12,National University of Singapore,87.1,56.0
13,"University of California, Los Angeles",67.5,53.8
14,University of Toronto,66.6,57.2
15,Shanghai Jiao Tong University,71.0,52.4
16,University of Technology Sydney,90.1,47.0
17,Zhejiang University,71.0,50.6
18,Peking University,76.6,63.7
19,The Chinese University of Hong Kong,89.8,55.4
20,Huazhong University of Science and Technology,82.2,29.6
21,Cornell University,73.4,61.9
22,Beihang University,72.4,42.8
23,Harbin Institute of Technology,80.5,31.8
24,University of Southern California,75.3,53.7
25,Georgia Institute of Technology,79.5,66.9
26,Xidian University,73.6,32.3
27,New York University,79.1,48.1
28,University of Sydney,90.6,44.5
29,University of Oslo,100.0,12.1
30,The University of Edinburgh,72.1,41.2
31,University of Science and Technology of China,75.0,50.1
32,University of Montreal,83.0,33.6
33,City University of Hong Kong,82.5,31.1
34,The University of Texas at Austin,69.6,56.9
35,University College London,84.3,49.5
36,University of Washington,81.4,67.3
37,Imperial College London,82.6,46.9
38,Sun Yat-sen University,77.8,40.7
39,Southeast University,77.9,21.9
40,Tianjin University,76.5,33.6
41,Northwestern Polytechnical University,77.4,31.3
42,University of North Carolina at Chapel Hill,78.8,26.7
43,The Hong Kong Polytechnic University,84.7,27.0
44,Beijing University of Posts and Telecommunications,71.3,28.8
45,Wuhan University,78.5,27.2
46,The Hong Kong University of Science and Technology,84.2,46.4
47,Dalian University of Technology,77.9,28.4
48,University of Michigan-Ann Arbor,67.9,60.5
49,The University of Adelaide,95.9,33.2
50,Aalto University,81.6,34.0
51,Beijing Institute of Technology,75.9,30.5
52,Central South University,88.4,8.9
53,Johns Hopkins University,93.3,42.5
54,King Abdulaziz University,93.9,4.0
55,Nanjing University,76.3,44.3
56,Nanjing University of Science and Technology,74.4,27.3
57,National University of Defense Technology,62.2,29.7
58,Northeastern University (Shenyang),72.7,12.7
